date,shop_id,total_qty,total_revenue
2013-01-02,31,568.0,396376.09999999497
2013-01-03,31,423.0,276933.11
2013-01-04,31,431.0,286408.0
2013-01-05,31,415.0,273244.99999999
2013-01-06,31,435.0,260775.0
2013-01-07,31,312.0,157212.0
2013-01-08,31,354.0,243647.00000001
2013-01-09,31,262.0,163457.999999998
2013-01-10,31,254.0,135411.0
2013-01-11,31,315.0,193856.0
2013-01-12,31,488.0,266322.000000001
2013-01-13,31,313.0,208273.0
2013-01-14,31,228.0,170388.0
2013-01-15,31,246.0,209319.499999999
2013-01-16,31,274.0,163352.0
2013-01-17,31,242.0,167812.0
2013-01-18,31,365.0,258600.000000001
2013-01-19,31,497.0,353119.00000001
2013-01-20,31,327.0,209561.0
2013-01-21,31,240.0,167484.0
2013-01-22,31,256.0,139221.999999996
2013-01-23,31,283.0,165269.0
2013-01-24,31,286.0,141170.999999999
2013-01-25,31,407.0,246247.0
2013-01-26,31,461.0,255116.999999999
2013-01-27,31,347.0,179906.999999999
2013-01-28,31,299.0,168518.0
2013-01-29,31,281.0,143230.0
2013-01-30,31,268.0,149453.0
2013-01-31,31,296.0,184533.000000004
2013-02-01,31,362.0,210339.000000002
2013-02-02,31,465.0,228623.0
2013-02-03,31,364.0,209298.999999999
2013-02-04,31,265.0,118145.000000001
2013-02-05,31,325.0,201174.0
2013-02-06,31,297.0,165070.0
2013-02-07,31,398.0,258952.999999979
2013-02-08,31,459.0,268200.999999993
2013-02-09,31,566.0,394361.999999991
2013-02-10,31,415.0,239619.000000002
2013-02-11,31,282.0,217534.999999997
2013-02-12,31,378.0,224935.999999991
2013-02-13,31,321.0,219704.000000002
2013-02-14,31,381.0,209915.000000001
2013-02-15,31,454.0,269680.000000006
2013-02-16,31,454.0,308180.0
2013-02-17,31,414.0,237536.999999999
2013-02-18,31,396.0,208247.000000009
2013-02-19,31,446.0,297038.00000002
2013-02-20,31,377.0,223012.000000009
2013-02-21,31,496.0,404661.999999932
2013-02-22,31,749.0,524493.000000038
2013-02-23,31,614.0,441982.999999962
2013-02-24,31,395.0,237039.00000001
2013-02-25,31,241.0,213454.0
2013-02-26,31,265.0,161963.0
2013-02-27,31,313.0,173703.99999997
2013-02-28,31,268.0,166750.0
2013-03-01,31,378.0,217752.2
2013-03-02,31,453.0,256749.000000019
2013-03-03,31,374.0,213977.0
2013-03-04,31,323.0,188138.0
2013-03-05,31,447.0,346681.030000026
2013-03-06,31,416.0,247003.999999995
2013-03-07,31,803.0,547491.000000043
2013-03-08,31,619.0,411458.98999997403
2013-03-09,31,421.0,245197.0
2013-03-10,31,379.0,218765.0
2013-03-11,31,293.0,166936.0
2013-03-12,31,416.0,293428.999999939
